CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
MACAY,"Macay Holdings, Inc.",O,6.89,"1,068,393,223","7,361,229,306",Industrial,"Food, Beverage & Tobacco",January-December,"3,545,000,000","5,126,000,000","1,426,000,000","23,000,000","9,718,000,000","36,000,000","1,840,000,000",,"1,840,000,000","7,878,000,000","7,878,000,000","10,699,000,000","277,000,000","-5,000,000","308,000,000","308,000,000","1,041,220,800","866,675,300","-1,092,433,800","-1,048,181,600",,,,0,"-59,702,700"
MAH-AB,Metro Alliance Holdings & Equities Corp.,O,0.965,"306,122,449","295,408,163",Services,Transportation Services,January-December,"34,498,700","216,906,100","8,523,300","24,646,300","626,782,800",,"343,120,900",,"472,833,400","111,168,200","153,949,400","321,910,400","23,920,700",,"7,090,600","16,457,300","3,464,700","-2,519,000","-3,551,300","379,400",,"-300,000",,,"-2,338,400"
MARC,"Marcventures Holdings, Inc.",O,0.81,"3,014,820,305","2,442,004,447",Mining and Oil,Mining,January-December,"207,000,000","1,050,000,000","291,000,000","6,000,000","6,312,000,000","513,000,000","1,744,000,000","259,000,000","2,555,000,000","3,757,000,000","3,757,000,000","745,763,000","-626,223,500",,"-616,205,800","-616,205,800","82,253,822","-48,178,384","-112,922,002","-159,265,376","122,600,000","-38,932,685",,,"45,167,315"
MAXS,"Max's Group, Inc.",O,11,"1,087,017,824","11,957,196,064",Industrial,"Food, Beverage & Tobacco",January-December,"446,000,000","2,625,000,000","4,604,000,000","536,000,000","14,173,000,000","3,114,000,000","5,021,000,000","2,087,000,000","8,313,000,000","5,909,000,000","5,860,000,000","14,159,000,000","1,047,000,000",,"664,000,000","676,000,000","1,054,705,000","1,000,047,000","-1,024,343,000","-707,247,000","-582,000,000","285,493,000","-794,000","-113,642,000","-292,080,000"
MB,Manila Bulletin Publishing Corporation,O,0.435,"3,466,139,072","1,507,770,496",Services,Media,January-December,"56,000,000","3,151,000,000","2,438,000,000","95,000,000","5,979,000,000","467,000,000","1,382,000,000","1,000,000,000","2,382,000,000","3,597,000,000","3,597,000,000","1,541,629,400","68,786,300",,"14,418,600","14,418,600","62,970,900","30,281,400","-4,412,600","-29,065,300","537,600,000","-624,000,000",,,"-10,258,900"
MBC,Manila Broadcasting Company,O,13.84,"402,682,990","5,573,132,582",Services,Media,January-December,"78,000,000","918,000,000","1,110,000,000","208,000,000","2,452,000,000","81,000,000","560,000,000","361,000,000","1,057,000,000","1,205,000,000","1,395,000,000","989,272,200","164,308,700",,"112,626,400","112,626,400","33,067,800","209,387,200","-208,218,700","-199,926,900","-29,737,500","-2,000,000",,"-120,683,100","11,669,400"
MBT,Metropolitan Bank & Trust Company,O,64.55,"4,497,415,555","290,308,174,075",Financials,Banks,January-December,,,"25,947,000,000","471,815,000,000","2,329,250,000,000","121,636,000,000",,"230,076,000,000","2,009,376,000,000","304,651,000,000","319,874,000,000","113,955,000,000","35,735,000,000","874,000,000","26,835,000,000","27,473,000,000","1,769,000,000","65,127,000,000","-4,048,000,000","-157,610,000,000","1,171,467,000,000","-2,045,226,000,000","-3,000,000","-4,011,000,000","150,810,000,000"
MED,"MEDCO Holdings, Inc.",O,0.42,"3,159,292,441","1,326,902,825",Financials,Other Financial Institutions,January-December,"14,840,100",,,"43,457,300","59,028,100",,,,"4,665,100","54,363,000","54,363,000","9,432,700","3,983,700",,"3,896,800","3,896,800",,"3,860,100",,,,,,,
MEG,Megaworld Corporation,O,4.28,"32,239,945,872","137,986,968,332",Property,Property,January-December,"18,206,000,000","184,316,000,000","6,476,000,000","118,367,000,000","338,235,000,000","12,826,000,000","50,689,000,000","71,272,000,000","149,691,000,000","163,005,000,000","188,544,000,000","58,930,000,000","22,662,000,000","76,000,000","16,724,000,000","17,866,000,000","2,576,000,000","17,211,000,000","-654,000,000","-14,402,000,000","28,587,900,000","-18,955,600,000",,"-1,912,000,000","2,219,000,000"
MER,Manila Electric Company,O,302.4,"1,127,098,705","340,834,648,392",Industrial,"Electricity, Energy, Power & Water",January-December,"50,590,000,000","94,924,000,000","149,325,000,000","50,918,000,000","334,137,000,000","15,284,000,000","108,071,000,000","15,951,000,000","250,149,000,000","83,062,000,000","83,988,000,000","318,169,000,000","43,719,000,000","-646,000,000","23,126,000,000","23,260,000,000","8,751,000,000","38,297,000,000","-19,009,000,000","-37,764,000,000","258,000,000","-8,678,000,000",,"-17,666,000,000","-23,919,000,000"
MFC,Manulife Financial Corporation,O,850,"1,948,811,715","1,656,489,957,750",Financials,Other Financial Institutions,January-December,,,,,"29,997,447,669,500",,,"498,077,421,000","28,017,849,214,500","1,938,228,473,500","1,982,834,749,500","2,920,385,367,000","251,456,183,500",,"193,670,780,500","200,455,301,500","10,461,974,900","1,119,718,905,500",,"-623,123,161,500","17,642,971,300","-32,557,902,500","-60,319,850,500","-54,510,117,000","-43,904,429,000"
MFIN,Makati Finance Corporation,O,2.47,"262,948,243","649,482,160","Small, Medium & Emerging Board","Small, Medium & Emerging Board",January-December,"72,000,000",,"75,000,000","63,000,000","1,231,000,000","632,000,000",,,"712,000,000","520,000,000","520,000,000","180,247,500","32,400,300",,"18,399,800","18,399,800","3,502,355","-183,181,800","-3,854,000","-11,153,700","204,610,918","-122,442,609",,"-1,376,200","220,067,100"
MG,"Millennium Global Holdings, Inc.",O,0.182,"2,500,000,000","455,000,000",Industrial,"Food, Beverage & Tobacco",January-December,"43,000,000","1,509,000,000","351,000,000","35,000,000","2,044,000,000","1,134,000,000","1,539,000,000","5,000,000","1,627,000,000","172,000,000","417,000,000","1,190,745,000","21,771,900","-3,862,600","-5,883,000","-4,183,300","47,253,200","-92,098,600","-18,140,800","-107,830,900","37,969,000","-42,742,700",,,"177,309,000"
MGH,Metro Global Holdings Corporation,S,,"2,000,000,000","2,000,000,000",Holding Firms,Holding Firms,January-December,"1,000,000","9,000,000",,"1,515,000,000","1,527,000,000",,"468,000,000",,"1,553,000,000","-27,000,000","-27,000,000","29,500,000","8,755,900","17,926,900","28,020,900","28,020,900",,"61,771,363",,"7,533,841","1,900,000","-24,100,000",,,"-68,834,592"
MHC,Mabuhay Holdings Corporation,O,0.6,"1,200,000,000","720,000,000",Holding Firms,Holding Firms,January-December,"432,000,000",,"2,000,000","467,000,000","1,253,000,000","14,000,000",,,"426,000,000","661,000,000","827,000,000","28,891,800","-10,985,400","7,517,200","-816,149,100","-799,521,500","825,066","-40,591,600",0,"17,296,500",,"4,900,000",,,"4,891,900"
MJC,"Manila Jockey Club, Inc.",O,3.15,"1,494,241,674","4,706,861,273",Services,Casinos & Gaming,January-December,"520,000,000","1,251,000,000","816,000,000","3,196,000,000","5,347,000,000",,"439,000,000","315,000,000","1,492,000,000","3,795,000,000","3,855,000,000","1,550,370,300","232,633,700","-94,970,700","77,994,700","72,930,600","95,505,600","-127,488,000","-46,871,300","339,044,400","75,000,000","-34,100,000",,"1,793,400","69,675,000"
