CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
SECB,Security Bank Corporation,O,190,"753,538,887","143,172,388,530",Financials,Banks,January-December,,,"5,685,000,000","271,607,000,000","806,873,000,000","55,245,000,000",,"122,506,000,000","689,066,000,000","117,800,000,000","117,807,000,000","42,293,000,000","12,235,000,000","27,000,000","9,764,000,000","9,766,000,000","773,800,000","8,033,000,000","-1,544,000,000","-63,008,000,000","1,391,686,800,000","-599,185,000,000",,"-2,267,000,000","37,722,000,000"
SEVN,Philippine Seven Corporation,O,139.9,"756,418,283","105,822,917,792",Services,Retail,January-December,"4,289,000,000","10,249,000,000","15,268,000,000","5,000,000","27,525,000,000","2,389,000,000","11,975,000,000","7,516,000,000","20,132,000,000","7,393,000,000","7,393,000,000","50,223,000,000","3,542,000,000",,"1,492,000,000","1,492,000,000","3,286,000,000","6,781,000,000","-2,446,000,000","-2,530,000,000","75,000,000","-312,000,000",,"-378,000,000","-2,440,000,000"
SFI,"Swift Foods, Inc.",O,0.12,"1,814,423,473","217,730,817",Industrial,"Food, Beverage & Tobacco",January-December,"9,710,200","20,246,000",,"157,054,500","177,505,900",,"71,598,600",,"122,816,200","54,689,700","54,689,700","55,201,000","-18,308,000",,"-1,120,000","-1,120,000",,"-1,755,000",,,,,,,"1,000"
SGI,"Solid Group, Inc.",O,1.22,"1,821,542,000","2,222,281,240",Holding Firms,Holding Firms,January-December,"3,982,000,000","5,395,000,000","1,819,000,000","4,230,000,000","11,697,000,000","70,000,000","436,000,000",,"1,276,000,000","10,056,000,000","10,421,000,000","3,942,000,000","-97,000,000",,"159,000,000","173,000,000","84,729,200","760,238,200","-55,893,400","-100,943,300",0,"-53,200,000",,"-109,292,500","-161,994,800"
SGP,"Synergy Grid & Development Phils., Inc.",O,190,"49,466,000","9,398,540,000",Holding Firms,Holding Firms,January-December,"7,505,200","8,005,600",,,"8,005,600",,"242,000",,"242,000","7,763,700","7,763,700","6,600,000","8,518,800",,"508,700","508,700",,"-834,684",,,,,,,
SHLPH,PILIPINAS SHELL PETROLEUM CORPORATION,O,31.5,"1,613,444,202","50,823,492,363",Industrial,"Electricity, Energy, Power & Water",January-December,"4,079,000,000","44,321,000,000","40,674,000,000","653,000,000","96,557,000,000","6,484,000,000","35,534,000,000","18,789,000,000","58,001,000,000","38,557,000,000","38,557,000,000","219,291,000,000","4,651,000,000",,"2,255,000,000","2,255,000,000","3,727,000,000","11,347,000,000","-4,542,000,000","-5,747,000,000","14,464,000,000","-9,000,000,000",,"-4,838,000,000","-6,950,000,000"
SHNG,"Shang Properties, Inc.",O,3.17,"4,764,056,287","15,102,058,430",Property,Property,January-December,"1,652,000,000",,"13,057,000,000","34,636,000,000","61,893,000,000","2,528,000,000",,"3,192,000,000","21,823,000,000","33,944,000,000","40,070,000,000","14,626,000,000","4,705,000,000","3,000,000","3,680,000,000","4,251,000,000","1,579,500,365","-317,000,000","801,000,000","646,000,000","2,100,000,000","-5,344,374,971",,"-559,000,000","-2,063,000,000"
SLF,Sun Life Financial Inc.,O,1855,"587,843,688","1,090,450,041,240",Financials,Other Financial Institutions,January-December,,,"29,009,676,000",,"11,266,710,899,500",,,"276,839,650,000","10,323,194,582,500","902,770,199,500","903,550,029,500","1,208,424,568,000","116,428,619,000",,"100,325,129,500","100,325,129,500","6,222,736,000","407,929,073,000","-4,678,980,000","-192,423,052,500","35,560,248,000","-25,500,441,000","-32,245,970,500","-50,377,018,000","-71,861,334,500"
SLI,"Sta. Lucia Land, Inc.",O,2.55,"8,196,450,000","20,900,947,500",Property,Property,January-December,"834,000,000",,"43,000,000","6,046,000,000","38,064,000,000","3,128,000,000",,"11,474,000,000","22,339,000,000","15,725,000,000","15,725,000,000","6,269,000,000","2,372,000,000",,"1,958,000,000","1,958,000,000","79,307,977","-1,473,381,300","-41,133,900","-350,925,100","5,047,000,000","-3,808,688,200",,,"2,284,492,200"
SM,SM Investments Corporation,O,1032,"1,204,582,867","1,243,129,518,744",Holding Firms,Holding Firms,January-December,"84,756,000,000","237,498,000,000","115,371,000,000","640,446,000,000","1,134,671,000,000","75,910,000,000","205,175,000,000","345,208,000,000","605,857,000,000","379,170,000,000","528,814,000,000","468,505,000,000","73,972,000,000","24,600,000,000","43,964,000,000","67,472,000,000","17,705,000,000","62,258,000,000","-27,694,000,000","-53,033,000,000","31,890,000,000","-16,344,000,000",,"-20,070,000,000","-13,662,000,000"
SMC,San Miguel Corporation,O,150,"2,378,524,978","356,778,746,700",Holding Firms,Holding Firms,January-December,"292,190,000,000","624,085,000,000","626,037,000,000","151,275,000,000","1,765,160,000,000","245,643,000,000","408,035,000,000","732,552,000,000","1,187,755,000,000","339,745,000,000","577,405,000,000","1,022,404,000,000","107,787,000,000","-292,000,000","23,461,000,000","46,440,000,000","32,374,000,000","88,847,000,000","-92,179,000,000","-79,448,000,000","142,808,000,000","-90,349,000,000","-39,769,000,000","-10,598,000,000","72,323,000,000"
SMPH,"SM Prime Holdings, Inc.",O,40.8,"28,879,231,694","1,178,272,653,115",Property,Property,January-December,"42,641,000,000",,"1,366,000,000","401,821,000,000","656,791,000,000","28,997,000,000",,"217,194,000,000","365,034,000,000","290,113,000,000","291,756,000,000","114,552,000,000","45,805,000,000","781,600,000","36,329,000,000","37,064,000,000","5,229,100,000","61,081,000,000","-25,891,000,000","-67,756,000,000","15,320,000,000","23,704,000,000","-5,900,000","-10,509,000,000","1,261,000,000"
SOC,"SOCResources, Inc.",O,0.88,"901,920,568","793,690,100",Holding Firms,Holding Firms,January-December,"535,000,000","1,682,000,000","40,000,000","47,000,000","1,833,000,000",,"190,000,000",,"205,000,000","1,628,000,000","1,628,000,000","194,480,700","-30,855,500",,"-12,731,600","-12,731,600","4,093,700","125,753,800","-8,355,100","-11,352,900",,,,,"622,500"
SPC,SPC Power Corporation,O,9.1,"1,496,551,803","13,618,621,407",Industrial,"Electricity, Energy, Power & Water",January-December,"3,381,000,000","4,298,000,000","786,000,000","6,489,000,000","11,816,000,000",,"562,000,000",,"939,000,000","10,716,000,000","10,878,000,000","2,700,915,400","395,297,700","1,228,408,400","1,728,369,900","1,773,749,300","68,234,100","1,529,765,500","-145,473,500","-118,893,400",,,,"-1,235,101,900","-1,235,101,900"
SPM,Seafront Resources Corporation,O,2.1,"163,000,000","342,300,000",Holding Firms,Holding Firms,January-December,"22,640,600",,,"482,517,700","513,293,900",,,,"46,087,200","467,206,700","467,206,700","38,530,300","32,318,400",,"32,311,700","32,311,700","-15,061,916","25,147,500",,"-13,320,000",,,,,
SRDC,Supercity Realty Development Corporation,O,,"110,000,000","88,000,000",Industrial,"Construction, Infra. & Allied Services",January-December,"15,207,500","73,533,000",,,"73,533,000",,"54,882,400",,"54,882,400","18,650,600","18,650,600","193,453,600","22,897,300",,"15,267,400","15,267,400",,"20,827,200",,"90,200",,,,,"-11,000,000"
SSI,"SSI Group, Inc.",O,2.56,"3,304,554,430","8,459,659,341",Services,Retail,January-December,"1,358,000,000","14,194,000,000","2,716,000,000","641,000,000","19,167,000,000","5,012,000,000","7,429,000,000","63,000,000","7,892,000,000","11,275,000,000","11,275,000,000","21,295,000,000","1,372,000,000","90,000,000","761,000,000","761,000,000","866,829,500","1,700,420,500","-713,456,800","-547,534,200","21,742,500,000","-450,215,100","-35,667,800","-49,957,300","-1,223,340,200"
SSP,SFA Semicon Philippines Corporation,O,1.25,"2,165,024,111","2,706,280,139",Industrial,Electrical Components & Equipment,January-December,"173,000,000","3,856,000,000","6,461,000,000","51,000,000","10,447,000,000","1,602,000,000","4,106,000,000",,"4,445,000,000","6,002,000,000","6,002,000,000","16,049,000,000","552,000,000",,"426,000,000","426,000,000","252,054,800","391,528,400","-440,053,200","-439,690,900","11,190,300","-374,746,100",,,"-396,014,900"
STI,"STI Education Systems Holdings, Inc.",O,0.62,"9,904,806,924","6,140,980,293",Services,Education,April-March,"710,000,000","2,576,000,000","9,907,000,000","1,921,000,000","15,109,000,000","306,000,000","1,849,000,000","4,173,000,000","6,475,000,000","8,544,000,000","8,634,000,000","2,666,625,300","338,506,400","2,955,500","144,447,100","143,787,100","494,468,600","607,382,900","-846,863,400","-892,751,500","100,000,000","38,809,700",,"-188,881,000","-262,371,500"
STN,Steniel Manufacturing Corporation,S,,"1,000,000,000","260,000,000",Industrial,Other Industrials,January-December,"2,005,000","277,837,000","7,400,000","61,585,000","346,842,000","195,303,000","304,598,000","144,260,000","448,858,000","-102,015,000","-102,015,000","54,000,000","34,917,000",,"-30,895,000","-30,895,000","14,195,000","75,524,000",,"-10,640,000",,"-5,173,000",,,"-64,889,000"
STR,"Vistamalls, Inc.",O,5.87,"8,425,981,156","49,460,509,386",Property,Property,January-December,"496,000,000","13,715,000,000","79,000,000","50,520,000,000","68,063,000,000","1,125,000,000","34,015,000,000","3,597,000,000","43,978,000,000","23,958,000,000","24,085,000,000","6,458,000,000","3,402,000,000",,"2,579,000,000","2,589,000,000","1,392,000,000","1,020,000,000","-11,191,000,000","-7,822,000,000","-3,262,000,000","-738,500,000",,"-412,000,000","6,595,000,000"
SUN,"Suntrust Home Developers, Inc.",O,2.04,"7,250,000,000","14,790,000,000",Property,Property,January-December,"350,897,900","689,120,300","48,776,300","24,168,300","808,580,900",,"271,054,900",,"311,405,200","497,175,700","497,175,700","651,155,700","134,528,600",,"102,299,900","102,299,900","19,247,700","102,605,100","-6,227,600","-111,642,800","900,000",,,,"-1,748,400"
T,TKC Metals Corporation,O,1.02,"940,000,000","958,800,000",Industrial,"Construction, Infra. & Allied Services",January-December,"40,000,000","1,362,000,000","3,409,000,000",,"4,942,000,000","987,000,000","4,448,000,000",,"4,475,000,000","420,000,000","467,000,000","529,713,600","-181,913,600",,"-181,056,600","-188,592,800","36,441,700","-201,023,700","-2,004,600","302,772,100","541,700,000","-583,985,705",,,"-113,089,800"
TBGI,Transpacific Broadband Group Int`l. Inc.,O,0.285,"3,795,622,000","1,081,752,270",Services,Information Technology,January-December,"9,785,600","27,523,200","59,513,200","469,943,200","566,497,400","5,500,000","5,567,000",,"21,673,300","544,824,200","544,824,200","38,032,400","-1,036,300","-2,241,200","14,143,600","14,143,600","16,134,300","7,173,900",,"-192,195,400","5,500,000","-48,800,000",,,"189,249,100"
TECH,Cirtek Holdings Philippines Corporation,O,11.48,"419,063,353","4,810,847,292",Industrial,Electrical Components & Equipment,January-December,"804,000,000","5,385,000,000","1,918,000,000","574,000,000","13,114,000,000","2,846,000,000","3,899,000,000","3,020,000,000","7,236,000,000","7,268,000,000","5,878,000,000","4,579,000,000","172,000,000",,"46,000,000","46,000,000","299,480,000","1,244,008,700","-761,711,700","-971,005,600","1,464,034,000","-485,108,700","-332,735,000","-308,136,300","153,759,600"
TEL,PLDT Inc.,O,1061,"216,055,775","229,235,177,275",Services,Telecommunications,January-December,"37,470,000,000","82,883,000,000","242,857,000,000","61,938,000,000","511,967,000,000","29,469,000,000","202,553,000,000","178,345,000,000","397,619,000,000","110,193,000,000","114,348,000,000","168,091,000,000","29,492,000,000","-1,397,000,000","18,643,000,000","18,683,000,000","49,186,000,000","68,966,000,000","-70,148,000,000","-65,633,000,000","17,946,000,000","-17,908,000,000",,"-15,686,000,000","-20,053,000,000"
TFC,PTFC Redevelopment Corporation,O,49.45,"35,000,000","1,730,750,000",Property,Property,September-August,"312,851,400",,"539,000","81,544,200","531,528,400",,,,"80,700,500","450,827,900","450,827,900","202,527,400","109,002,900","15,366,000","128,298,100","128,298,100","3,800,000","95,941,000","-380,400","23,985,700",,,,"-52,103,700","-52,103,700"
TFHI,"Top Frontier Investment Holdings, Inc.",O,199.9,"332,886,167","66,543,944,783",Holding Firms,Holding Firms,January-December,"292,475,000,000","620,886,000,000","682,173,000,000","117,143,000,000","1,878,616,000,000","257,285,000,000","431,539,000,000","763,236,000,000","1,299,945,000,000","140,751,000,000","578,671,000,000","1,022,376,000,000","106,131,000,000","-291,000,000","10,855,000,000","46,324,000,000","35,510,000,000","85,572,000,000","-91,059,000,000","-74,250,000,000","117,927,000,000","-90,349,000,000","-6,782,000,000",,"70,014,000,000"
TUGS,"Harbor Star Shipping Services, Inc. ",O,1.35,"894,586,870","1,207,692,275",Services,Transportation Services,January-December,"326,000,000","1,504,000,000","2,392,000,000","162,000,000","6,248,000,000","1,273,000,000","1,499,000,000","3,165,000,000","4,752,000,000","1,488,000,000","1,496,000,000","1,430,923,100","39,968,400","3,046,300","-116,056,400","-105,653,200","342,628,100","-41,064,900","-1,428,445,400","-746,767,300","3,443,648,000","-1,591,138,997","-37,615,000",,"928,976,200"
UBP,"Union Bank of the Philippines, Inc.",O,59.8,"1,217,609,561","72,813,051,748",Financials,Banks,January-December,,,"5,943,000,000","214,905,000,000","685,761,000,000","90,387,000,000",,"50,330,000,000","588,713,000,000","96,521,000,000","97,048,000,000","39,190,000,000","12,051,000,000",,"9,759,000,000","9,740,000,000","334,000,000","6,620,000,000","-1,099,000,000","-57,958,000,000","1,400,392,300,000","-1,326,725,000,000",,"-2,313,000,000","25,617,000,000"
UNI,"Unioil Resources & Holdings Company, Inc.",S,0.246,"1,589,559,977","391,031,754",Holding Firms,Holding Firms,January-December,"9,951,400","20,800,000","5,296,800",,"315,000,500",,"861,500,000",,"869,678,700","-567,944,400","-554,678,200","1,043,900","-530,100",,"-868,100","-868,100","200,000","-171,800",0,"-15,184,100","9,500,000","1,900,000",,,"12,583,000"
UPM,United Paragon Mining Corporation,O,0.0058,"261,314,797,080","1,515,625,823",Mining and Oil,Mining,January-December,0,"23,000,000","995,000,000",,"1,116,000,000","26,000,000","1,157,000,000",,"1,158,000,000","-42,000,000","-42,000,000",,"-7,635,100",,"-54,610,500","-54,610,500","190,000","-3,420,000",,"-2,720,000","200,000",,,,"6,400,000"
URC,Universal Robina Corporation,O,162,"2,204,161,868","357,074,222,616",Industrial,"Food, Beverage & Tobacco",January-December,"12,081,000,000","55,085,000,000","57,503,000,000","564,000,000","158,082,000,000","11,760,000,000","34,465,000,000","32,479,000,000","71,314,000,000","86,584,000,000","86,768,000,000","132,030,000,000","14,329,000,000","-79,000,000","9,399,000,000","9,759,000,000","7,174,000,000","12,784,000,000","-10,079,000,000","-10,057,000,000","14,226,000,000","-15,957,000,000",,"-7,237,000,000","-5,662,000,000"
V,"Vantage Equities, Inc.",O,1.03,"4,199,582,266","4,325,569,734",Financials,Other Financial Institutions,January-December,"9,725,000,000",,"178,000,000",,"10,448,000,000",,,,"391,000,000","9,569,000,000","10,056,000,000","1,649,781,400","845,909,000",,"662,316,400","733,509,400","19,200,000","-4,073,613,800","-45,058,600","85,407,800",,"-492,900,000",,,"-431,339,500"
VITA,Vitarich Corporation,O,1.3,"3,054,334,014","3,970,634,218",Industrial,"Food, Beverage & Tobacco",January-December,"190,000,000","2,290,000,000","1,027,000,000","645,000,000","3,980,000,000","442,000,000","2,150,000,000","206,000,000","2,571,000,000","1,409,000,000","1,409,000,000","8,128,000,000","-103,000,000",,"-97,000,000","-97,000,000","96,459,600","61,309,000","-367,733,800","-371,693,800","1,296,900,000","-687,500,000",,,"336,996,200"
VLL,"Vista Land & Lifescapes, Inc.",O,7.29,"12,698,007,676","92,568,475,958",Property,Property,January-December,"13,887,000,000",,"2,757,000,000","130,647,000,000","267,961,000,000","10,861,000,000",,"126,814,000,000","170,626,000,000","95,143,000,000","97,335,000,000","44,662,000,000","13,309,000,000",,"10,982,000,000","11,290,000,000","860,300,000","2,749,000,000","-21,257,000,000","-20,559,000,000","19,047,000,000","-5,457,000,000","-760,000,000","-2,784,000,000","21,498,000,000"
VMC,"Victorias Milling Company, Inc.",O,2.56,"2,742,050,564","7,019,649,444",Industrial,"Food, Beverage & Tobacco",September-August,"819,000,000","2,880,000,000","5,893,000,000","580,000,000","9,508,000,000","360,000,000","1,246,000,000","263,000,000","2,252,000,000","7,252,000,000","7,257,000,000","5,661,000,000","555,000,000",,"813,000,000","813,000,000","363,774,000","1,288,790,000","-573,264,000","74,148,000",0,"-1,455,000,000",,,"-1,162,500,000"
VUL,Vulcan Industrial & Mining Corporation,O,0.99,"1,450,000,000","1,435,500,000",Industrial,"Construction, Infra. & Allied Services",January-December,0,0,,,"458,000,000",,0,,0,"457,000,000","457,000,000",,"28,472,600",,"-848,357,400","-848,357,400","819,500,000","1,054,707",,"1,700,000",,,,,
VVT,Vivant Corporation,O,15.1,"1,023,456,698","15,454,196,140",Industrial,"Electricity, Energy, Power & Water",January-December,"4,563,000,000","5,896,000,000","1,507,000,000","11,379,000,000","19,742,000,000","70,000,000","768,000,000","3,697,000,000","5,451,000,000","13,593,000,000","14,291,000,000","3,465,000,000","687,000,000","2,067,000,000","2,348,000,000","2,643,000,000","211,245,300","1,565,547,000","-82,154,300","-862,494,300","57,800,000","-161,031,500",,"-481,598,700","-670,796,800"
WEB,PhilWeb Corporation,O,3.79,"1,435,776,680","5,441,593,617",Services,Information Technology,January-December,"32,228,100","420,651,300","129,368,200",,"754,759,500","202,675,000","394,096,100",,"428,798,300","328,310,100","325,961,200","504,535,300","474,574,900",,"-33,844,400","-34,011,700","41,850,400","-11,360,400","-137,327,300","-114,217,800","137,903,125","-92,200,000",,,"107,633,800"
WIN,"Wellex Industries, Incorporated",O,0.216,"3,271,938,180","706,738,647",Holding Firms,Holding Firms,January-December,"10,000,000","137,000,000","2,000,000","1,510,000,000","1,695,000,000","6,000,000","20,000,000",,"488,000,000","1,207,000,000","1,207,000,000","27,746,500","857,800",,"-22,281,500","-22,281,500","10,079,700","14,601,400","-22,552,700","30,211,300","-4,200,000","-27,800,000",,,"-36,752,100"
WLCON,"Wilcon Depot, Inc.",O,18.82,"4,099,724,116","77,156,807,863",Services,Retail,January-December,"4,529,000,000","14,122,000,000","9,267,000,000",,"24,379,000,000","1,327,000,000","6,404,000,000","3,589,000,000","10,176,000,000","14,203,000,000","14,203,000,000","23,717,000,000","2,765,000,000",,"1,990,000,000","1,990,000,000","819,130,700","2,819,332,700","-2,643,454,200","-3,013,865,400",,0,,"-655,955,900","-1,218,226,600"
WPI,"Waterfront Philippines, Incorporated",O,0.61,"2,498,991,753","1,524,384,969",Services,Hotel & Leisure,January-December,"732,000,000","5,090,000,000","5,002,000,000","22,000,000","12,136,000,000","375,000,000","2,951,000,000",,"6,340,000,000","5,109,000,000","5,796,000,000","1,865,859,800","50,544,600",,"-83,813,700","-249,628,000","294,364,400","-318,654,000","-644,699,400","-1,895,542,600",0,"-650,036,994",,,"2,815,196,600"
X,Xurpas Inc.,O,0.89,"1,871,830,210","1,665,928,887","Small, Medium & Emerging Board","Small, Medium & Emerging Board",January-December,"281,000,000","396,000,000","15,000,000","452,000,000","2,812,000,000","55,000,000","617,000,000",0,"798,000,000","2,090,000,000","2,014,000,000","1,295,095,500","-477,675,400","-29,522,300","-1,246,025,800","-1,277,656,900","87,975,600","-591,300,900","-30,047,200","659,520,800","1,029,500","-212,400,000",,"-14,119,600","76,967,200"
ZHI,"Zeus Holdings, Inc.",O,0.22,"2,737,044,807","602,149,858",Holding Firms,Holding Firms,January-December,"93,700","974,400",,,"974,400",,"703,200",,"703,200","271,200","271,200",,"664,600",,"-688,300","-688,300",,"-649,960",,,,,,,"625,000"
